Time, Longitude, Latitude, Altitude, Roll (deg), Pitch (deg), Yaw (deg)
2024-03-10T12:10:49Z, 32.9396466456332, 33.115509600742335, 952.1950742638976, 0.09856129677642035, -0.02755290649415154, 28.441446663823363
2024-03-10T12:10:49Z, 32.93969335618681, 33.11558220325386, 952.1875730536581, 0.42295503560175424, -0.20106994593447167, 28.46155205741416
2024-03-10T12:10:49Z, 32.93974011854028, 33.11565489333528, 952.1755476873368, 0.29208750140668566, -0.47289318928305146, 28.43170027154503
2024-03-10T12:10:49Z, 32.939786927115506, 33.11572765743398, 952.149324676314, 0.6974513347471335, -0.8778513351171738, 28.470656449787555
2024-03-10T12:10:49Z, 32.93983378447841, 33.11580046878224, 952.1135650494487, 0.9235046567164603, -1.3455471581501526, 28.442194453381006
2024-03-10T12:10:49Z, 32.939880636718236, 33.115873304985655, 952.0746406595886, 0.5594339913014242, -1.7116946592990117, 28.418641619890302
2024-03-10T12:10:49Z, 32.939927496895244, 33.11594614986588, 952.0274650598467, 0.7942967790331051, -1.8428238418904472, 28.465965701242897
2024-03-10T12:10:49Z, 32.939974381145255, 33.11601898950809, 951.9760819816411, 0.9321035901637493, -1.814505749880374, 28.443020116212466
2024-03-10T12:10:49Z, 32.94002126008386, 33.116091826602535, 951.929017276293, 0.30640320724452486, -1.7910475639240475, 28.374734345983967
2024-03-10T12:10:49Z, 32.94006811164561, 33.11616466370327, 951.8902045983643, -0.7888211914411173, -1.9022594000002246, 28.348228530816453
2024-03-10T12:10:49Z, 32.94011498252931, 33.11623753562438, 951.8504208087445, -1.142314460606781, -2.0992335574194185, 28.3897571657309
2024-03-10T12:10:49Z, 32.94016186296637, 33.11631040885759, 951.7971318035425, -1.3099863214322678, -2.415642524377657, 28.418422350502514
2024-03-10T12:10:49Z, 32.94020875732171, 33.11638327749221, 951.7227057902367, -1.1960441499662557, -2.778238206812811, 28.429491014595513
2024-03-10T12:10:49Z, 32.940255624658256, 33.11645612929252, 951.6329103707671, -1.5808063683149074, -3.024911644682739, 28.422450770648766
2024-03-10T12:10:49Z, 32.940302477881055, 33.11652896719628, 951.5237253553838, -1.1975581368190626, -3.025107010208058, 28.493610377507586
2024-03-10T12:10:49Z, 32.94034935862106, 33.1166017999708, 951.3909281945497, -0.23188052663915648, -2.834936543334693, 28.540167496640773
2024-03-10T12:10:49Z, 32.94039623496944, 33.116674619842954, 951.246274579686, 0.22297292599056392, -2.4233147779633804, 28.517491995572893
2024-03-10T12:10:49Z, 32.94044311627404, 33.116747438613345, 951.0906703466713, 1.0132898601762677, -1.8567871253512693, 28.530696494150213
2024-03-10T12:10:49Z, 32.940489993848125, 33.116820257756, 950.9351777006865, 1.2680603513399802, -1.2300554366722503, 28.509731601505152
2024-03-10T12:10:49Z, 32.94053687604861, 33.11689307748008, 950.7837556240529, 1.9248086550232764, -0.4840247938787373, 28.541684648913556
2024-03-10T12:10:49Z, 32.94058377797582, 33.11696591829491, 950.6492966630817, 2.0227991503336487, 0.2830869312259899, 28.545243990567123
2024-03-10T12:10:49Z, 32.94063071138991, 33.117038806291696, 950.5410717669189, 1.9214791751988565, 0.894041270473325, 28.573869748003364
2024-03-10T12:10:49Z, 32.94067769892292, 33.117111726486314, 950.4523718996734, 2.3131689422665858, 1.1939402096135638, 28.60560753111622
2024-03-10T12:10:49Z, 32.94072472820291, 33.11718466733159, 950.3846075346172, 1.966085904835621, 1.0672895100039534, 28.529712273999795
2024-03-10T12:10:49Z, 32.94077173556575, 33.11725759333082, 950.33890246194, 1.0693813692541043, 0.5965228204120795, 28.458577702396134
2024-03-10T12:10:49Z, 32.9408187284332, 33.1173305142698, 950.3020921043337, 0.9720175068680562, -0.030700506125031567, 28.488409337647973
2024-03-10T12:10:49Z, 32.94086575142479, 33.11740345684956, 950.262098288244, 1.6220070087278282, -0.6353059154845576, 28.53621959290176
2024-03-10T12:10:49Z, 32.9409128087633, 33.117476407634435, 950.2231360100717, 2.0711160032115328, -1.052037628915896, 28.518614565421327
2024-03-10T12:10:49Z, 32.94095986948431, 33.117549363070204, 950.1909215996773, 1.97635568640145, -1.257286242363363, 28.467852141706643
2024-03-10T12:10:49Z, 32.94100691532166, 33.11762230967554, 950.1555031458914, 2.5811601371737583, -1.3957339137335967, 28.506759918519567
2024-03-10T12:10:49Z, 32.94105397672433, 33.117695238141046, 950.1109612073869, 3.6909461522708336, -1.4245436373919738, 28.54054490352155
2024-03-10T12:10:49Z, 32.94110104124828, 33.11776816698202, 950.0621886473001, 4.263894218894688, -1.390155380215682, 28.506713175247214
2024-03-10T12:10:49Z, 32.9411481290055, 33.11784113304462, 950.0072402264447, 5.069823924539513, -1.2658369614135687, 28.550421185325135
2024-03-10T12:10:49Z, 32.94119523678358, 33.11791410691747, 949.9521468584956, 5.359410760984296, -1.088530196150351, 28.542654101294875
2024-03-10T12:10:49Z, 32.94124234959603, 33.11798707556388, 949.8936002027393, 6.332748173707851, -0.8253542704849968, 28.601005823525412
2024-03-10T12:10:49Z, 32.941289501382684, 33.11806007366516, 949.8262902907759, 7.728052585735443, -0.5368412489074271, 28.655931218790244
2024-03-10T12:10:49Z, 32.94133671011632, 33.118133152074414, 949.755305826804, 8.47114266560478, -0.36715226552943936, 28.655244798589067
2024-03-10T12:10:49Z, 32.94138398180459, 33.11820630914919, 949.6775888863295, 9.47614121921806, -0.27719830065520523, 28.678384503478142
2024-03-10T12:10:49Z, 32.94143127504009, 33.11827948477356, 949.596749979803, 9.893441129392256, -0.2884737029166778, 28.64755094551458
